DateTime,Entries,UniqueIPs
1515683912,1920,1920
1515684771,1917,1917
1515687475,1916,1916
1515689256,1915,1915
1515691062,1913,1913
1515696460,1914,1914
1515698257,1913,1913
1515705465,1915,1915
1515709061,1916,1916
1515712660,1921,1921
1515719861,1916,1916
1515727062,1917,1917
1515734259,1919,1919
1515735155,1918,1918
1515741456,1918,1918
1515742359,1917,1917
1515748658,1916,1916
1515755863,1917,1917
1515763062,1916,1916
1515763960,1915,1915
1515769402,1914,1914
1515770256,1910,1910
1515773863,1911,1911
1515777479,1910,1910
1515781075,1909,1909
1515782862,1910,1910
1515784672,1906,1906
1515791861,1910,1910
1515792763,1911,1911
1515799967,1911,1911
1515804470,1912,1912
1515806260,1912,1912
1515807165,1911,1911
1515809863,1910,1910
1515813461,1912,1912
1515820664,1912,1912
1515825168,1911,1911
1515827863,1913,1913
1515835072,1912,1912
1515839570,1910,1910
1515842259,1906,1906
1515843163,1907,1907
1515849466,1897,1897
1515854866,1896,1896
1515856685,1897,1897
1515858469,1892,1892
1515860260,1891,1891
1515863862,1886,1886
1515871075,1889,1889
1515878289,1891,1891
1515885475,1896,1896
1515892678,1893,1893
1515899873,1889,1889
1515907082,1891,1891
1515914272,1890,1890
1515916070,1889,1889
1515921472,1894,1894
1515928673,1891,1891
1515935886,1890,1890
1515939476,1889,1889
1515943075,1885,1885
1515947577,1887,1887
1515950279,1886,1886
1515957483,1892,1892
1515964672,1893,1893
1515971881,1890,1890
1515975479,1889,1889
1515979079,1885,1885
1515986280,1885,1885
1515993475,1887,1887
1515997977,1886,1886
1516000674,1881,1881
1516007881,1881,1881
1516015077,1876,1876
1516022267,1877,1877
1516029500,1871,1871
1516030384,1874,1874
1516036686,1881,1881
1516040276,1882,1882
1516043877,1888,1888
1516047477,1889,1889
1516051073,1892,1892
1516058275,1896,1896
1516064622,1895,1895
1516065471,1891,1891
1516066373,1890,1890
1516072675,1909,1909
1516079878,1912,1912
1516087081,1908,1908
1516088873,1907,1907
1516094277,1906,1906
1516101474,1907,1907
1516108676,1906,1906
1516115875,1904,1904
1516117769,1905,1905
1516120373,1905,1905
1516123075,1910,1910
1516126675,1911,1911
1516128474,1909,1909
1516130273,1913,1913
1516134778,1912,1912
1516137480,1912,1912
1516144679,1913,1913
1516151882,1915,1915
1516155481,1916,1916
1516159080,1916,1916
1516162673,1915,1915
1516164472,1913,1913
1516166275,1912,1912
1516173477,1911,1911
1516180677,1912,1912
1516187877,1917,1917
1516191478,1916,1916
1516194223,1917,1917
1516195072,1917,1917
1516202276,1910,1910
1516203182,1911,1911
1516204087,1912,1912
1516205874,1912,1912
1516209479,1911,1911
1516216680,1913,1913
1516223875,1918,1918
1516230225,1919,1919
1516231082,1942,1942
1516234683,1941,1941
1516237427,1942,1942
1516238280,1960,1960
1516241873,1959,1959
1516245477,1963,1963
1516252683,1960,1960
1516259882,1960,1960
1516267077,1959,1959
1516274285,1958,1958
1516281473,1960,1960
1516288695,1956,1956
1516295887,1952,1952
1516303073,1948,1948
1516310278,1945,1945
1516313886,1946,1946
1516317484,1946,1946
1516324685,1946,1946
1516331882,1944,1944
1516335476,1943,1943
1516339075,1941,1941
1516346272,1936,1936
1516353477,1935,1935
1516360681,1925,1925
1516367876,1930,1930
1516373271,1931,1931
1516375090,1922,1922
1516376882,1923,1923
1516378689,1925,1925
1516381438,1926,1926
1516382284,1928,1928
1516385885,1879,1879
1516389482,1881,1881
1516395837,1882,1882
1516396685,1881,1881
1516399436,1882,1882
1516403892,1881,1881
1516405683,1882,1882
1516408391,1881,1881
1516410236,1879,1879
1516411082,1872,1872
1516414684,1873,1873
1516418282,1874,1874
1516425492,1873,1873
1516432677,1873,1873
1516439881,1868,1868
1516447077,1867,1867
1516454279,1867,1867
1516457880,1866,1866
1516459683,1865,1865
1516461479,1867,1867
1516466044,1864,1864
1516466877,1870,1870
1516468690,1872,1872
1516475888,1873,1873
1516483086,1874,1874
1516490285,1880,1880
1516497483,1880,1880
1516504679,1878,1878
1516511887,1872,1872
1516519077,1873,1873
1516522681,1872,1872
1516526276,1873,1873
1516533482,1869,1869
1516539831,1868,1868
1516540681,1864,1864
1516542479,1863,1863
1516546084,1862,1862
1516547031,1861,1861
1516547886,1856,1856
1516549680,1859,1859
1516554226,1857,1857
1516555078,1858,1858
1516562278,1858,1858
1516569487,1858,1858
1516577581,1856,1856
1516583883,1853,1853
1516587486,1854,1854
1516591085,1851,1851
1516598295,1848,1848
1516605480,1845,1845
1516612680,1860,1860
1516616278,1861,1861
1516619877,1864,1864
1516627080,1863,1863
1516630690,1862,1862
1516634286,1858,1858
1516639682,1853,1853
1516641482,1854,1854
1516645087,1856,1856
1516648688,1853,1853
1516652283,1854,1854
1516656785,1854,1854
1516663086,1855,1855
1516670286,1854,1854
1516674780,1855,1855
1516677489,1854,1854
1516684694,1859,1859
1516691885,1863,1863
1516693688,1862,1862
1516699087,1869,1869
1516706290,1870,1870
1516713485,1867,1867
1516720685,1864,1864
1516724377,1859,1859
1516727925,1859,1859
1516730633,1893,1893
1516731484,1894,1894
1516735085,1891,1891
1516742294,1881,1881
1516743186,1880,1880
1516749483,1890,1890
1516756688,1888,1888
1516763878,1889,1889
1516771083,1894,1894
1516778287,1893,1893
1516785487,1896,1896
1516792681,1897,1897
1516799888,1898,1898
1516807088,1900,1900
1516808872,1899,1899
1516810679,1898,1898
1516814286,1896,1896
1516821555,1899,1899
1516823302,1898,1898
1516828679,1896,1896
1516835883,1900,1900
1516843089,1898,1898
1516850286,1898,1898
1516854783,1899,1899
1516857500,1898,1898
1516864692,1896,1896
1516871899,1889,1889
1516879091,1898,1898
1516886283,1898,1898
1516893487,1893,1893
1516900688,1892,1892
1516902483,1890,1890
1516911488,1890,1890
1516915101,1894,1894
1516922289,1894,1894
1516925888,1896,1896
1516929487,1901,1901
1516934891,1902,1902
1516935850,1903,1903
1516936691,1921,1921
1516937585,1922,1922
1516938487,1923,1923
1516943889,1919,1919
1516951088,1917,1917
1516954694,1918,1918
1516958287,1920,1920
1516961884,1921,1921
1516965484,1923,1923
1516973612,1923,1923
1516976283,1925,1925
1516979896,1921,1921
1516981688,1922,1922
1516983493,1925,1925
