DateTime,AddedIPs,RemovedIPs
1515716730,0,2
1515720909,1,0
1515722916,1,0
1515734995,0,2
1515738978,1,1
1515742837,1,0
1515754362,0,1
1515766127,1,0
1515771870,0,1
1515779551,0,1
1515793483,1,0
1515795416,1,0
1515798740,1,0
1515802888,1,0
1515807010,0,1
1515809071,0,1
1515824919,0,1
1515828759,0,1
1515830788,1,0
1515840738,1,0
1515844615,1,0
1515854203,0,1
1515877985,2,0
1515879889,0,1
1515881868,0,1
1515887569,0,1
1515895307,1,0
1515901074,0,1
1515916749,1,0
1515918558,0,1
1515928152,0,1
1515932094,0,1
1515936266,1,0
1515953563,1,0
1515964096,0,2
1515982267,0,1
1516001947,0,1
1516019321,1,0
1516021304,0,1
1516035396,1,0
1516037323,1,0
1516049305,1,0
1516053149,1,0
1516057288,1,0
1516061332,1,0
1516069000,1,0
1516076675,11,0
1516080515,0,1
1516082477,1,0
1516102364,1,0
1516104292,1,0
1516106191,0,1
1516112210,1,0
1516120682,0,1
1516124429,0,1
1516126370,1,0
1516134032,1,0
1516135964,0,1
1516139787,0,1
1516144583,0,1
1516146780,0,1
1516155428,0,1
1516161398,2,0
1516163551,0,11
1516167635,0,1
1516171721,1,0
1516177480,2,0
1516184149,1,0
1516187935,0,1
1516189745,1,0
1516191864,0,1
1516199661,1,1
1516213470,0,1
1516219674,0,1
1516242996,2,0
1516247126,0,2
1516256730,1,0
1516258927,0,1
1516262903,1,0
1516264734,0,2
1516270364,0,1
1516276929,0,1
1516294970,1,0
1516303499,1,0
1516307791,1,0
1516314068,1,0
1516318137,2,0
1516330368,0,2
1516343330,0,1
1516349082,1,0
1516355062,1,0
1516356995,0,1
1516372842,1,0
1516380750,1,1
1516388827,1,0
1516391011,0,1
1516395168,0,1
1516400188,1,1
1516404018,0,2
1516405927,1,0
1516410995,1,0
1516434508,0,1
1516438367,0,1
1516442690,0,1
1516444942,1,0
1516459964,0,1
1516468616,0,1
1516474377,0,1
1516486847,0,1
1516498821,0,1
1516516098,1,0
1516529776,0,1
1516535534,0,1
1516564573,1,0
1516605620,1,0
1516611386,1,0
1516615278,2,0
1516628793,3,0
1516634417,1,0
1516640480,1,0
1516651965,1,1
1516658477,1,0
1516671872,0,1
1516675704,1,0
1516685303,1,0
1516689194,1,0
1516691068,2,1
1516698751,0,1
1516700687,0,2
1516704502,1,0
1516706431,1,0
1516725883,0,1
1516732842,1,0
1516768143,0,1
1516771967,1,1
1516775805,0,1
1516777724,1,0
1516781751,0,6
1516787554,2,0
1516791397,0,2
1516800278,1,0
1516819723,0,1
1516829803,1,0
1516839851,0,1
1516856496,0,1
1516864106,0,2
1516873764,0,2
1516887157,0,1
1516896820,1,0
1516904510,3,0
1516906372,1,0
1516910207,2,0
1516915992,0,1
1516927530,1,0
1516931642,1,0
1516954739,1,0
1516981936,0,1
1516989892,0,1
1516991798,0,3
1516993949,1,0
1516995858,0,1
1516997804,0,1
1517014123,0,1
1517018200,0,1
1517042671,0,1
1517046521,1,0
1517050363,2,0
1517080835,1,1
1517096441,1,0
1517123894,1,0
1517131696,0,1
1517136496,1,1
1517138412,0,1
1517140329,1,0
1517144167,1,0
1517149006,1,0
1517179964,1,0
1517209467,0,1
1517222918,0,1
1517226761,0,2
1517230597,0,1
1517235405,1,1
1517266104,0,1
1517272822,1,0
1517299722,2,0
1517318207,1,0
1517320108,2,0
1517322093,0,1
1517331864,1,0
1517349417,1,0
1517359231,0,1
1517366907,1,0
1517372741,1,0
1517383255,22,0
1517385400,13,1
1517387300,7,1
1517390188,12,0
1517392342,17,0
1517394259,7,0
1517396078,14,0
1517398140,7,0
1517400090,8,0
1517401946,10,0
1517403886,6,1
1517405780,7,0
1517407738,7,2
1517409861,13,0
1517411806,9,0
1517413827,9,0
1517415645,10,0
1517417557,12,1
1517419683,8,0
1517421677,3,0
1517423789,11,0
1517425704,1,0
1517427619,3,0
1517429565,9,0
1517431469,7,0
1517433402,5,0
1517435305,5,1
1517437219,1,0
1517439146,3,0
1517441376,4,0
1517443278,7,0
1517445133,12,0
1517447077,4,0
1517449221,1,0
1517453063,4,0
1517456902,3,0
1517464597,1,0
1517468471,3,0
1517470350,0,2
1517472286,3,5
1517474183,0,3
1517476119,1,3
1517478018,0,5
1517479941,0,3
1517481861,0,5
1517483792,0,3
1517485705,4,4
1517487881,8,2
1517489773,4,8
1517491723,4,6
1517493679,3,5
1517495707,6,4
1517497706,4,7
1517499607,5,5
1517501569,6,8
1517503479,3,4
1517505407,5,5
1517507291,4,2
1517509236,1,8
1517511133,3,4
1517513073,5,1
1517514998,3,6
1517516912,4,3
1517518974,7,6
1517521221,7,5
1517523146,5,3
1517525085,6,5
1517526986,2,5
1517528903,6,3
1517530819,3,14
1517532728,4,7
1517534661,11,2
1517536569,6,1
1517538509,8,4
1517541486,4,1
1517543553,5,2
1517545384,7,0
1517547373,5,0
1517549570,3,0
1517551471,5,1
1517553404,3,1
1517555304,5,2
1517557223,2,1
1517559170,2,2
1517561068,3,0
1517562988,4,0
1517565457,4,0
1517567299,2,1
1517569443,2,0
1517571641,4,2
1517573713,1,6
1517575692,0,4
1517577630,5,6
1517579530,3,0
1517581473,2,3
1517583373,3,2
1517585549,2,7
1517587476,3,5
1517589422,1,1
1517591333,1,3
1517593245,3,4
1517595165,1,2
1517597080,3,3
1517598985,5,3
1517600926,2,3
1517602830,2,0
1517604738,1,0
1517606680,0,4
1517608617,0,2
1517610530,1,2
1517612547,1,0
1517614925,4,5
1517616739,6,5
1517618667,2,2
1517620618,1,2
1517622510,5,4
1517624429,2,1
1517626366,3,2
1517628525,2,4
1517630476,2,7
1517632365,6,7
1517634286,1,4
1517636198,3,2
1517638124,2,3
1517640039,2,4
1517641938,2,6
1517643884,1,2
1517645790,0,6
1517647719,0,2
1517649623,0,4
1517651560,0,2
1517653700,0,2
1517656614,0,4
1517658699,1,3
1517660678,1,4
1517662486,0,7
1517664520,0,4
1517666339,1,6
1517668363,0,6
1517670428,0,5
1517672578,0,4
1517674482,0,4
1517676510,0,7
1517678341,0,3
1517680329,0,11
1517682152,0,6
1517683961,5,11
1517686095,7,7
1517688286,7,6
1517690183,7,5
1517692095,6,0
1517694282,5,0
1517696216,4,1
1517698361,5,6
1517700281,3,2
1517702204,2,5
1517704109,6,8
1517706992,6,4
1517708914,7,5
1517710830,5,8
1517712727,7,4
1517714676,5,1
1517716583,8,2
1517718517,5,7
1517720484,9,8
1517722347,4,5
1517724255,4,4
1517726210,6,3
1517728124,5,4
1517730016,6,2
1517731963,3,0
1517733880,6,0
1517735808,3,0
1517737724,5,0
1517739628,4,0
1517741776,4,0
1517743722,5,0
1517745680,2,0
1517747547,2,1
1517749478,4,1
1517751391,2,0
1517753331,5,0
1517755241,4,0
1517757165,3,0
1517759080,2,0
1517761006,2,0
1517762927,5,0
1517765056,6,1
1517767000,3,0
1517770031,2,2
1517772159,5,2
1517773962,4,2
1517776036,0,4
1517778083,2,3
1517779910,4,3
1517781855,3,3
1517783662,3,3
1517785464,3,2
1517787630,4,4
1517789807,5,0
1517791967,5,4
1517793887,3,2
1517796083,5,3
1517797965,1,1
1517799874,4,3
1517801805,3,6
1517803733,0,4
1517805645,1,4
1517807564,4,5
1517809465,2,6
1517811415,3,2
1517813330,3,2
1517815467,3,5
1517818847,5,9
1517820731,5,6
1517822658,2,2
1517824874,8,6
1517826995,5,3
1517828900,2,4
1517830832,6,2
1517832689,2,1
1517834662,3,2
1517836581,3,2
1517838511,2,4
1517840424,2,0
1517842340,2,3
1517844262,0,1
1517846178,0,2
1517848348,0,4
1517850272,3,2
1517852747,3,2
1517854570,3,1
1517856640,4,1
1517858651,2,4
1517860888,0,1
1517862754,4,2
1517864664,6,3
1517866571,0,6
1517868503,0,2
1517870412,6,4
1517872253,3,2
1517874256,5,1
1517876105,1,5
1517878103,7,6
1517879924,3,4
1517881930,3,2
1517883760,1,1
1517885767,1,5
1517887574,5,2
1517889394,0,1
1517891389,4,3
1517893304,2,4
1517895405,3,4
1517897288,5,1
1517899090,2,2
1517900923,4,2
1517902886,3,1
1517904757,3,5
1517906707,2,7
1517908580,3,1
1517910650,1,2
1517912651,3,7
1517914924,3,8
1517916952,0,5
1517919326,3,5
1517921555,5,5
1517923474,5,3
1517925377,1,4
1517927299,5,4
1517929284,2,5
1517931142,7,0
1517933060,3,0
1517934980,1,0
1517936900,2,3
1517939093,1,2
1517941008,2,2
1517942914,2,2
1517944832,1,2
1517946760,3,2
1517948679,2,2
1517950595,2,4
1517952519,4,2
1517955406,4,1
1517957329,3,5
1517959240,6,3
1517961165,5,3
1517963077,6,3
1517965001,6,2
1517966915,4,4
1517968874,3,1
1517970755,2,4
1517972694,7,2
1517974820,7,5
1517976741,2,3
1517978656,5,3
1517980572,2,1
1517982490,1,3
1517984410,3,3
1517986331,3,6
1517988252,4,3
1517990189,4,1
1517992354,4,4
1517994293,2,4
1517996360,3,2
1517998604,4,4
1518000522,3,0
1518002521,1,2
